Game_ID,Event_Index,Game_Date,Game_Code,Period,Home_Team,Visitor_Team,Description,Home_Points_Before,Home_Points_After,Visitor_Points_Before,Visitor_Points_After,Point_Change,Score_Diff,Score_Diff_After,Video_Link,Thumbnail_Link,Event_Link
0022501199,89,2026-04-12,2026-04-12/GSWLAC,1,LAC,GSW,St. Curry 31' 3PT Jump Shot (6 PTS) (Payton II 1 AST),10,10,12,15,3,2,5,https://videos.nba.com/nba/pbp/media/2026/04/12/0022501199/89/4af5f827-fb29-488b-c1e0-9c8a1ec5d457_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/04/12/0022501199/89/4af5f827-fb29-488b-c1e0-9c8a1ec5d457_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=89&GameID=0022501199&Season=2025-2026&flag=1&title=St.+Curry+31%27+3PT+Jump+Shot+%286+PTS%29+%28Payton+II+1+AST%29
0022501199,23,2026-04-12,2026-04-12/GSWLAC,1,LAC,GSW,St. Curry 26' 3PT Jump Shot (3 PTS) (Horford 1 AST),4,4,5,8,3,1,4,https://videos.nba.com/nba/pbp/media/2026/04/12/0022501199/23/75632536-4fbb-627e-bbc3-f69fa42ead5e_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/04/12/0022501199/23/75632536-4fbb-627e-bbc3-f69fa42ead5e_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=23&GameID=0022501199&Season=2025-2026&flag=1&title=St.+Curry+26%27+3PT+Jump+Shot+%283+PTS%29+%28Horford+1+AST%29
0022501199,374,2026-04-12,2026-04-12/GSWLAC,3,LAC,GSW,St. Curry 29' 3PT Running Jump Shot (17 PTS) (Melton 2 AST),58,58,52,55,3,6,3,https://videos.nba.com/nba/pbp/media/2026/04/12/0022501199/374/1f4b4de9-f4a8-ca20-7af0-951f55c026b5_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/04/12/0022501199/374/1f4b4de9-f4a8-ca20-7af0-951f55c026b5_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=374&GameID=0022501199&Season=2025-2026&flag=1&title=St.+Curry+29%27+3PT+Running+Jump+Shot+%2817+PTS%29+%28Melton+2+AST%29
0022501199,426,2026-04-12,2026-04-12/GSWLAC,3,LAC,GSW,St. Curry 25' 3PT Jump Shot (22 PTS) (Podziemski 2 AST),67,67,62,65,3,5,2,https://videos.nba.com/nba/pbp/media/2026/04/12/0022501199/426/f104f890-5939-13b5-72ac-54b5c544b051_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/04/12/0022501199/426/f104f890-5939-13b5-72ac-54b5c544b051_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=426&GameID=0022501199&Season=2025-2026&flag=1&title=St.+Curry+25%27+3PT+Jump+Shot+%2822+PTS%29+%28Podziemski+2+AST%29
0022501184,371,2026-04-10,2026-04-10/GSWSAC,3,SAC,GSW,St. Curry 27' 3PT Jump Shot (6 PTS) (Green 3 AST),65,65,51,54,3,14,11,https://videos.nba.com/nba/pbp/media/2026/04/10/0022501184/371/fbd41f78-1bdc-3b13-1ff7-ffa6560e81ab_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/04/10/0022501184/371/fbd41f78-1bdc-3b13-1ff7-ffa6560e81ab_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=371&GameID=0022501184&Season=2025-2026&flag=1&title=St.+Curry+27%27+3PT+Jump+Shot+%286+PTS%29+%28Green+3+AST%29
0022501184,7,2026-04-10,2026-04-10/GSWSAC,1,SAC,GSW,St. Curry 3PT Jump Shot (3 PTS) (Podziemski 1 AST),0,0,0,3,3,0,3,https://videos.nba.com/nba/pbp/media/2026/04/10/0022501184/7/1332e5e0-c679-df91-4521-46e9f0054371_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/04/10/0022501184/7/1332e5e0-c679-df91-4521-46e9f0054371_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=7&GameID=0022501184&Season=2025-2026&flag=1&title=St.+Curry+3PT+Jump+Shot+%283+PTS%29+%28Podziemski+1+AST%29
0022501154,643,2026-04-07,2026-04-07/SACGSW,4,GSW,SAC,St. Curry 26' 3PT Jump Shot (17 PTS) (Green 7 AST),101,104,104,104,3,3,0,https://videos.nba.com/nba/pbp/media/2026/04/07/0022501154/643/2d35c464-5a0d-f7d0-8079-b1b6f92f0aa2_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/04/07/0022501154/643/2d35c464-5a0d-f7d0-8079-b1b6f92f0aa2_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=643&GameID=0022501154&Season=2025-2026&flag=1&title=St.+Curry+26%27+3PT+Jump+Shot+%2817+PTS%29+%28Green+7+AST%29
0022501154,291,2026-04-07,2026-04-07/SACGSW,2,GSW,SAC,St. Curry 24' 3PT Jump Shot (11 PTS) (Green 4 AST),56,59,44,44,3,12,15,https://videos.nba.com/nba/pbp/media/2026/04/07/0022501154/291/700ea37e-c52a-60f6-45c5-f5a052d4e20c_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/04/07/0022501154/291/700ea37e-c52a-60f6-45c5-f5a052d4e20c_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=291&GameID=0022501154&Season=2025-2026&flag=1&title=St.+Curry+24%27+3PT+Jump+Shot+%2811+PTS%29+%28Green+4+AST%29
0022501154,264,2026-04-07,2026-04-07/SACGSW,2,GSW,SAC,St. Curry 25' 3PT Jump Shot (6 PTS) (Green 3 AST),48,51,44,44,3,4,7,https://videos.nba.com/nba/pbp/media/2026/04/07/0022501154/264/2b774ce5-1f0d-ff65-0ed9-0e96e6ce2982_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/04/07/0022501154/264/2b774ce5-1f0d-ff65-0ed9-0e96e6ce2982_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=264&GameID=0022501154&Season=2025-2026&flag=1&title=St.+Curry+25%27+3PT+Jump+Shot+%286+PTS%29+%28Green+3+AST%29
0022501154,118,2026-04-07,2026-04-07/SACGSW,1,GSW,SAC,St. Curry 28' 3PT Jump Shot (3 PTS) (Melton 1 AST),21,24,20,20,3,1,4,https://videos.nba.com/nba/pbp/media/2026/04/07/0022501154/118/667550a1-68d8-403c-cd70-5e4d0faef3bf_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/04/07/0022501154/118/667550a1-68d8-403c-cd70-5e4d0faef3bf_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=118&GameID=0022501154&Season=2025-2026&flag=1&title=St.+Curry+28%27+3PT+Jump+Shot+%283+PTS%29+%28Melton+1+AST%29
